,title,overview,len,ger
93837,So Undercover,"When the FBI hires her to go undercover at a college sorority, Molly Morris (Miley Cyrus) must transform herself from a tough, streetwise private investigator to a refined, sophisticated university girl to help protect the daughter of a one-time Mobster. With several suspects on her list, Molly unexpectedly discovers that not everyone is who they appear to be, including herself.",381,"Als das FBI sie anheuert, um undercover in einer College-Schwesternschaft zu ermitteln, muss sich Molly Morris (Miley Cyrus) von einer knallharten, gewieften Privatdetektivin in eine kultivierte, kultivierte Studentin verwandeln, um die Tochter eines ehemaligen Mafioso zu schützen. Als sie mehrere Verdächtige auf ihrer Liste hat, entdeckt Molly unerwartet, dass nicht jeder der ist, der er zu sein scheint - sie selbst eingeschlossen."
8193,Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",184,"Ein lustloser und entfremdeter Teenager beschließt, seinem neuen Freund dabei zu helfen, den Klassensprecherposten an ihrer kleinen Highschool im Westen zu gewinnen, während er zu Hause mit seinem bizarren Familienleben zurechtkommen muss."
8195,Ronin,"A briefcase with undisclosed contents -- sought by Irish terrorists and the Russian mob -- makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or ronin, charged with the thorny task of recovering the case. But the team, led by an ex-CIA agent, mistrusts one another. Can they accomplish their mission?",337,"Ein Aktenkoffer mit unbekanntem Inhalt - gesucht von irischen Terroristen und der russischen Mafia - gerät in die Hände von Kriminellen. Ein irischer Verbindungsmann stellt eine Gruppe von Söldnern (Ronin) zusammen, die mit der heiklen Aufgabe betraut werden, den Koffer wiederzubeschaffen. Doch das Team, das von einem ehemaligen CIA-Agenten angeführt wird, misstraut sich gegenseitig. Können sie ihren Auftrag erfüllen?"
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,237,"Es ist die erste Nacht von Ted, dem Pagen... und die sehr ungewöhnlichen Gäste des Hotels bringen ihn in einige unerhörte Schwierigkeiten. Es scheint, dass der Zimmerservice an diesem Abend ein unglaubliches Ereignis nach dem anderen serviert."
8202,Æon Flux,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",311,"400 Jahre in der Zukunft hat eine Krankheit den Großteil der Weltbevölkerung ausgelöscht, mit Ausnahme einer ummauerten Stadt, Bregna, die von einem Kongress von Wissenschaftlern regiert wird. Als Æon Flux, die Top-Agentin der unterirdischen ""Monican""-Rebellion, auf eine Mission geschickt wird, um einen Regierungsführer zu töten, stößt sie auf eine Welt voller Geheimnisse."
11,Star Wars: Episode IV - A New Hope,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,312,"Prinzessin Leia wird von den bösen imperialen Mächten gefangen genommen und als Geisel gehalten, um das galaktische Imperium zu übernehmen. Der unternehmungslustige Luke Skywalker und der schneidige Captain Han Solo tun sich mit dem liebenswerten Roboterduo R2-D2 und C-3PO zusammen, um die schöne Prinzessin zu retten und Frieden und Gerechtigkeit im Imperium wiederherzustellen."
12,Finding Nemo,"A tale which follows the comedic and eventful journeys of two fish, the fretful Marlin and his young son Nemo, who are separated from each other in the Great Barrier Reef when Nemo is unexpectedly taken from his home and thrust into a fish tank in a dentist's office overlooking Sydney Harbor. Buoyed by the companionship of a friendly but forgetful fish named Dory, the overly cautious Marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic journey to rescue his son.",495,"Eine Geschichte, die die komödiantische und ereignisreiche Reise von zwei Fischen, dem ängstlichen Marlin und seinem kleinen Sohn Nemo, verfolgt, die im Great Barrier Reef voneinander getrennt werden, als Nemo unerwartet aus seinem Zuhause entführt und in ein Aquarium in einer Zahnarztpraxis mit Blick auf den Hafen von Sydney gesteckt wird. Gestärkt durch die Gesellschaft eines freundlichen, aber vergesslichen Fisches namens Dorie, begibt sich der übervorsichtige Marlin auf eine gefährliche Reise und wird zum unwahrscheinlichen Helden einer epischen Reise zur Rettung seines Sohnes."
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",406,"Ein Mann mit einem niedrigen IQ hat in seinem Leben Großes geleistet und war bei bedeutenden historischen Ereignissen dabei - in jedem Fall weit über das hinaus, was man ihm zugetraut hätte. Doch trotz all der Dinge, die er erreicht hat, bleibt ihm die eine wahre Liebe versagt. Forrest Gump"" ist die Geschichte eines Mannes, der über seine Herausforderungen hinausgewachsen ist und der bewiesen hat, dass Entschlossenheit, Mut und Liebe wichtiger sind als Fähigkeiten."
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",175,"Lester Burnham, ein depressiver Vorstadtvater in der Midlife-Crisis, beschließt, sein hektisches Leben umzukrempeln, nachdem er sich in die attraktive Freundin seiner Tochter verguckt hat."
15,Citizen Kane,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",115,"Nach dem Tod eines Verlagsmagnaten versuchen Reporter, die Bedeutung seiner letzten Äußerung zu ergründen."
